Time,ThumbTip.x,ThumbTip.y,ThumbTip.z,IndexTip.x,IndexTip.y,IndexTip.z,MiddleTip.x,MiddleTip.y,MiddleTip.z,RingTip.x,RingTip.y,RingTip.z,LittleTip.x,LittleTip.y,LittleTip.z,Dist,Speed,PalmDist,Label
0.3079,-0.0702,0.0901,0.0700,-0.0407,0.1208,0.1124,-0.0338,0.1087,0.1420,-0.0571,0.0827,0.1263,-0.0373,0.0483,0.1456,0.0828,0.000,0.1183,None
0.3387,-0.0698,0.0898,0.0695,-0.0408,0.1200,0.1117,-0.0355,0.1074,0.1397,-0.0568,0.0820,0.1255,-0.0372,0.0478,0.1447,0.0801,0.095,0.1168,None
0.3628,-0.0695,0.0898,0.0694,-0.0409,0.1195,0.1113,-0.0395,0.1058,0.1359,-0.0593,0.0806,0.1205,-0.0379,0.0479,0.1439,0.0747,0.243,0.1146,None
0.4144,-0.0694,0.0897,0.0687,-0.0432,0.1180,0.1091,-0.0410,0.1049,0.1340,-0.0613,0.0791,0.1156,-0.0448,0.0495,0.1382,0.0728,0.042,0.1135,None
0.4331,-0.0694,0.0897,0.0684,-0.0453,0.1167,0.1074,-0.0412,0.1046,0.1334,-0.0614,0.0789,0.1152,-0.0471,0.0500,0.1359,0.0725,0.021,0.1132,None
0.4421,-0.0693,0.0896,0.0682,-0.0456,0.1163,0.1069,-0.0413,0.1044,0.1331,-0.0613,0.0789,0.1151,-0.0471,0.0500,0.1355,0.0722,0.026,0.1129,None
0.4543,-0.0693,0.0896,0.0681,-0.0459,0.1162,0.1066,-0.0414,0.1044,0.1330,-0.0613,0.0790,0.1153,-0.0473,0.0501,0.1354,0.0722,0.009,0.1129,None
0.4684,-0.0693,0.0895,0.0680,-0.0461,0.1159,0.1064,-0.0416,0.1043,0.1327,-0.0608,0.0793,0.1166,-0.0474,0.0501,0.1350,0.0719,0.022,0.1127,None
0.4828,-0.0692,0.0894,0.0679,-0.0463,0.1157,0.1061,-0.0419,0.1042,0.1323,-0.0608,0.0793,0.1166,-0.0476,0.0503,0.1346,0.0714,0.038,0.1125,None
0.4974,-0.0692,0.0894,0.0680,-0.0465,0.1156,0.1059,-0.0438,0.1038,0.1309,-0.0610,0.0794,0.1165,-0.0479,0.0505,0.1344,0.0694,0.163,0.1121,None
0.5119,-0.0693,0.0893,0.0679,-0.0469,0.1154,0.1056,-0.0493,0.1022,0.1265,-0.0613,0.0793,0.1160,-0.0493,0.0510,0.1327,0.0633,0.489,0.1106,None
0.5267,-0.0694,0.0892,0.0678,-0.0473,0.1154,0.1052,-0.0551,0.1002,0.1211,-0.0638,0.0784,0.1122,-0.0514,0.0518,0.1301,0.0563,0.541,0.1087,None
0.5408,-0.0695,0.0892,0.0675,-0.0478,0.1154,0.1047,-0.0586,0.0989,0.1174,-0.0665,0.0774,0.1077,-0.0532,0.0526,0.1276,0.0520,0.352,0.1075,None
0.5561,-0.0698,0.0892,0.0672,-0.0483,0.1155,0.1041,-0.0606,0.0984,0.1150,-0.0684,0.0767,0.1044,-0.0544,0.0533,0.1259,0.0495,0.184,0.1069,None
0.5686,-0.0700,0.0891,0.0669,-0.0490,0.1156,0.1035,-0.0612,0.0985,0.1144,-0.0690,0.0768,0.1034,-0.0551,0.0537,0.1251,0.0492,0.038,0.1068,None
0.5828,-0.0740,0.0936,0.0700,-0.0522,0.1215,0.1083,-0.0650,0.1037,0.1197,-0.0731,0.0807,0.1079,-0.0586,0.0567,0.1310,0.0515,0.161,0.1122,None
0.5966,-0.0743,0.0935,0.0699,-0.0527,0.1214,0.1080,-0.0654,0.1037,0.1194,-0.0734,0.0807,0.1076,-0.0589,0.0569,0.1307,0.0513,0.019,0.1122,None
0.6111,-0.0745,0.0933,0.0698,-0.0533,0.1213,0.1077,-0.0658,0.1037,0.1192,-0.0738,0.0806,0.1073,-0.0593,0.0570,0.1304,0.0512,0.019,0.1122,None
0.6248,-0.0748,0.0931,0.0698,-0.0538,0.1211,0.1075,-0.0662,0.1036,0.1190,-0.0741,0.0805,0.1072,-0.0595,0.0569,0.1303,0.0511,0.015,0.1122,None
0.6395,-0.0751,0.0928,0.0698,-0.0543,0.1209,0.1073,-0.0667,0.1034,0.1188,-0.0744,0.0803,0.1071,-0.0597,0.0569,0.1303,0.0508,0.023,0.1121,None
0.6536,-0.0754,0.0926,0.0699,-0.0548,0.1207,0.1072,-0.0672,0.1031,0.1185,-0.0748,0.0801,0.1069,-0.0598,0.0568,0.1303,0.0504,0.027,0.1120,None
0.6679,-0.0757,0.0923,0.0699,-0.0553,0.1205,0.1071,-0.0677,0.1028,0.1182,-0.0750,0.0799,0.1069,-0.0598,0.0566,0.1305,0.0500,0.032,0.1119,None
0.6820,-0.0760,0.0920,0.0700,-0.0558,0.1203,0.1069,-0.0682,0.1026,0.1179,-0.0754,0.0796,0.1067,-0.0597,0.0565,0.1307,0.0496,0.028,0.1118,None
0.6962,-0.0763,0.0917,0.0700,-0.0564,0.1200,0.1068,-0.0687,0.1023,0.1176,-0.0757,0.0794,0.1067,-0.0596,0.0564,0.1310,0.0493,0.024,0.1117,None
0.7107,-0.0766,0.0913,0.0701,-0.0569,0.1198,0.1067,-0.0692,0.1020,0.1173,-0.0760,0.0791,0.1066,-0.0595,0.0563,0.1313,0.0490,0.026,0.1117,None
0.7242,-0.0769,0.0911,0.0701,-0.0574,0.1196,0.1065,-0.0696,0.1018,0.1171,-0.0763,0.0789,0.1066,-0.0596,0.0562,0.1314,0.0488,0.023,0.1116,None
0.7384,-0.0770,0.0910,0.0701,-0.0576,0.1195,0.1064,-0.0699,0.1017,0.1169,-0.0764,0.0789,0.1066,-0.0595,0.0562,0.1314,0.0485,0.019,0.1115,None
0.7523,-0.0771,0.0909,0.0702,-0.0579,0.1194,0.1063,-0.0701,0.1016,0.1167,-0.0765,0.0789,0.1066,-0.0595,0.0563,0.1314,0.0483,0.020,0.1115,None
0.7665,-0.0771,0.0908,0.0703,-0.0581,0.1192,0.1062,-0.0703,0.1015,0.1165,-0.0766,0.0789,0.1066,-0.0595,0.0564,0.1314,0.0479,0.025,0.1114,None
0.7802,-0.0770,0.0909,0.0703,-0.0582,0.1192,0.1059,-0.0704,0.1015,0.1161,-0.0766,0.0790,0.1064,-0.0595,0.0566,0.1313,0.0475,0.029,0.1113,None
0.7941,-0.0768,0.0910,0.0703,-0.0581,0.1193,0.1057,-0.0704,0.1015,0.1157,-0.0765,0.0792,0.1062,-0.0594,0.0569,0.1311,0.0471,0.036,0.1111,None
0.8081,-0.0766,0.0912,0.0703,-0.0581,0.1193,0.1055,-0.0705,0.1015,0.1153,-0.0764,0.0793,0.1060,-0.0594,0.0572,0.1309,0.0466,0.038,0.1110,None
0.8220,-0.0763,0.0914,0.0704,-0.0579,0.1194,0.1052,-0.0704,0.1016,0.1149,-0.0762,0.0796,0.1058,-0.0593,0.0576,0.1306,0.0460,0.040,0.1108,None
0.8361,-0.0760,0.0916,0.0704,-0.0576,0.1195,0.1050,-0.0709,0.1013,0.1135,-0.0760,0.0798,0.1055,-0.0592,0.0581,0.1302,0.0445,0.124,0.1103,None
0.8498,-0.0756,0.0919,0.0705,-0.0573,0.1197,0.1047,-0.0716,0.1007,0.1118,-0.0758,0.0800,0.1051,-0.0603,0.0586,0.1283,0.0425,0.163,0.1097,None
0.8638,-0.0752,0.0921,0.0705,-0.0571,0.1199,0.1044,-0.0725,0.0999,0.1097,-0.0758,0.0800,0.1042,-0.0611,0.0591,0.1268,0.0401,0.192,0.1089,None
0.8779,-0.0748,0.0924,0.0706,-0.0567,0.1200,0.1040,-0.0745,0.0972,0.1039,-0.0760,0.0797,0.1024,-0.0618,0.0598,0.1245,0.0337,0.500,0.1060,None
0.8920,-0.0743,0.0927,0.0706,-0.0564,0.1202,0.1035,-0.0755,0.0947,0.0987,-0.0762,0.0795,0.1007,-0.0626,0.0605,0.1214,0.0281,0.436,0.1033,None
0.9056,-0.0739,0.0930,0.0706,-0.0571,0.1194,0.1013,-0.0767,0.0889,0.0879,-0.0773,0.0753,0.0900,-0.0652,0.0609,0.1138,0.0180,0.919,0.0972,None
0.9202,-0.0732,0.0932,0.0710,-0.0573,0.1184,0.0996,-0.0756,0.0839,0.0796,-0.0754,0.0687,0.0763,-0.0682,0.0599,0.1005,0.0129,0.686,0.0917,None
0.9338,-0.0725,0.0934,0.0714,-0.0570,0.1178,0.0983,-0.0739,0.0808,0.0746,-0.0721,0.0646,0.0686,-0.0682,0.0588,0.0922,0.0131,0.478,0.0879,None
0.9476,-0.0715,0.0937,0.0719,-0.0560,0.1178,0.0978,-0.0716,0.0795,0.0724,-0.0690,0.0632,0.0663,-0.0666,0.0579,0.0863,0.0141,0.241,0.0855,None
0.9616,-0.0707,0.0942,0.0720,-0.0549,0.1185,0.0972,-0.0699,0.0789,0.0706,-0.0657,0.0612,0.0624,-0.0629,0.0549,0.0739,0.0154,0.171,0.0837,None
0.9758,-0.0699,0.0950,0.0715,-0.0539,0.1195,0.0962,-0.0690,0.0793,0.0696,-0.0625,0.0593,0.0581,-0.0573,0.0514,0.0631,0.0159,0.049,0.0833,None
0.9896,-0.0691,0.0959,0.0710,-0.0528,0.1205,0.0951,-0.0681,0.0793,0.0681,-0.0594,0.0575,0.0543,-0.0530,0.0495,0.0578,0.0169,0.097,0.0826,None
1.0036,-0.0681,0.0973,0.0700,-0.0517,0.1220,0.0935,-0.0672,0.0799,0.0661,-0.0560,0.0559,0.0500,-0.0477,0.0463,0.0516,0.0178,0.090,0.0820,None
1.0175,-0.0671,0.0986,0.0689,-0.0504,0.1236,0.0918,-0.0663,0.0811,0.0650,-0.0525,0.0544,0.0463,-0.0428,0.0437,0.0472,0.0180,0.011,0.0819,None
1.0317,-0.0662,0.1000,0.0678,-0.0492,0.1251,0.0901,-0.0654,0.0824,0.0639,-0.0487,0.0531,0.0433,-0.0390,0.0422,0.0447,0.0181,0.007,0.0818,None
1.0456,-0.0653,0.1013,0.0665,-0.0480,0.1266,0.0883,-0.0646,0.0837,0.0627,-0.0468,0.0531,0.0415,-0.0364,0.0418,0.0431,0.0180,0.010,0.0818,None
1.0596,-0.0644,0.1026,0.0651,-0.0469,0.1282,0.0865,-0.0638,0.0851,0.0615,-0.0460,0.0539,0.0407,-0.0357,0.0424,0.0423,0.0179,0.014,0.0818,None
1.0734,-0.0636,0.1041,0.0634,-0.0458,0.1298,0.0843,-0.0631,0.0867,0.0599,-0.0454,0.0549,0.0397,-0.0353,0.0433,0.0416,0.0178,0.018,0.0818,None
1.0873,-0.0627,0.1056,0.0617,-0.0447,0.1314,0.0821,-0.0623,0.0882,0.0584,-0.0448,0.0559,0.0387,-0.0348,0.0442,0.0408,0.0177,0.018,0.0819,None
1.1014,-0.0618,0.1070,0.0599,-0.0437,0.1329,0.0797,-0.0616,0.0898,0.0567,-0.0443,0.0570,0.0376,-0.0344,0.0451,0.0399,0.0175,0.016,0.0819,None
1.1152,-0.0609,0.1084,0.0582,-0.0427,0.1342,0.0775,-0.0608,0.0912,0.0551,-0.0437,0.0580,0.0366,-0.0341,0.0460,0.0391,0.0174,0.013,0.0819,None
1.1295,-0.0599,0.1097,0.0565,-0.0429,0.1331,0.0729,-0.0599,0.0927,0.0534,-0.0432,0.0589,0.0355,-0.0337,0.0468,0.0383,0.0173,0.012,0.0818,None
1.1433,-0.0587,0.1111,0.0544,-0.0436,0.1295,0.0653,-0.0590,0.0943,0.0512,-0.0426,0.0601,0.0341,-0.0334,0.0479,0.0372,0.0172,0.022,0.0817,None
1.1570,-0.0569,0.1128,0.0526,-0.0427,0.1237,0.0557,-0.0576,0.0958,0.0485,-0.0415,0.0612,0.0325,-0.0327,0.0488,0.0360,0.0174,0.063,0.0814,None
1.1713,-0.0550,0.1143,0.0507,-0.0405,0.1214,0.0499,-0.0541,0.0948,0.0439,-0.0384,0.0611,0.0306,-0.0312,0.0494,0.0351,0.0207,0.287,0.0778,None
1.1852,-0.0464,0.1238,0.0383,-0.0305,0.1100,0.0378,-0.0412,0.0855,0.0334,-0.0286,0.0595,0.0296,-0.0268,0.0484,0.0345,0.0390,1.401,0.0637,None
1.1988,-0.0342,0.1305,0.0315,-0.0158,0.0972,0.0297,-0.0230,0.0743,0.0271,-0.0210,0.0588,0.0307,-0.0191,0.0462,0.0368,0.0574,1.386,0.0464,None
1.2129,-0.0199,0.1355,0.0272,-0.0058,0.0917,0.0268,-0.0124,0.0700,0.0255,-0.0148,0.0578,0.0311,-0.0137,0.0449,0.0388,0.0660,0.742,0.0385,None
1.2265,-0.0147,0.1361,0.0296,0.0000,0.0884,0.0277,-0.0058,0.0674,0.0271,-0.0114,0.0560,0.0323,-0.0108,0.0433,0.0407,0.0693,0.261,0.0336,None
1.2403,-0.0139,0.1354,0.0331,0.0014,0.0873,0.0297,-0.0034,0.0661,0.0290,-0.0108,0.0550,0.0337,-0.0102,0.0422,0.0419,0.0702,0.169,0.0316,None
1.2541,-0.0130,0.1348,0.0361,0.0025,0.0865,0.0314,-0.0017,0.0652,0.0306,-0.0101,0.0542,0.0349,-0.0096,0.0412,0.0429,0.0707,0.120,0.0305,None
1.2683,-0.0151,0.1335,0.0394,0.0013,0.0859,0.0331,-0.0022,0.0644,0.0319,-0.0107,0.0532,0.0359,-0.0102,0.0401,0.0437,0.0706,0.186,0.0301,None
1.2826,-0.0184,0.1318,0.0428,-0.0005,0.0854,0.0346,-0.0035,0.0638,0.0330,-0.0117,0.0522,0.0368,-0.0112,0.0391,0.0444,0.0702,0.226,0.0301,None
1.2964,-0.0208,0.1302,0.0456,-0.0018,0.0849,0.0358,-0.0044,0.0634,0.0339,-0.0125,0.0514,0.0374,-0.0119,0.0382,0.0448,0.0698,0.196,0.0300,None
1.3109,-0.0229,0.1291,0.0473,-0.0030,0.0846,0.0367,-0.0053,0.0630,0.0346,-0.0133,0.0508,0.0379,-0.0127,0.0375,0.0452,0.0696,0.117,0.0300,None
1.3243,-0.0247,0.1284,0.0483,-0.0041,0.0845,0.0374,-0.0062,0.0628,0.0351,-0.0140,0.0503,0.0381,-0.0135,0.0369,0.0453,0.0694,0.092,0.0299,None
1.3381,-0.0263,0.1278,0.0489,-0.0052,0.0847,0.0381,-0.0070,0.0626,0.0353,-0.0147,0.0499,0.0382,-0.0143,0.0365,0.0454,0.0694,0.066,0.0299,None
1.3520,-0.0281,0.1272,0.0495,-0.0065,0.0851,0.0391,-0.0079,0.0624,0.0357,-0.0155,0.0495,0.0383,-0.0151,0.0360,0.0454,0.0693,0.072,0.0299,None
1.3662,-0.0297,0.1269,0.0495,-0.0084,0.0882,0.0421,-0.0088,0.0624,0.0357,-0.0163,0.0492,0.0381,-0.0160,0.0358,0.0452,0.0692,0.052,0.0300,None
1.3797,-0.0318,0.1266,0.0490,-0.0147,0.0929,0.0455,-0.0101,0.0623,0.0355,-0.0174,0.0490,0.0377,-0.0172,0.0355,0.0449,0.0692,0.060,0.0301,None
1.3937,-0.0339,0.1264,0.0485,-0.0216,0.0977,0.0488,-0.0115,0.0622,0.0353,-0.0186,0.0487,0.0373,-0.0184,0.0353,0.0445,0.0692,0.059,0.0303,None
1.4074,-0.0367,0.1262,0.0469,-0.0322,0.1053,0.0532,-0.0150,0.0621,0.0336,-0.0216,0.0487,0.0354,-0.0215,0.0356,0.0424,0.0690,0.046,0.0319,None
1.4213,-0.0416,0.1254,0.0445,-0.0411,0.1124,0.0565,-0.0258,0.0636,0.0297,-0.0286,0.0499,0.0316,-0.0304,0.0380,0.0370,0.0655,0.473,0.0403,None
1.4353,-0.0459,0.1254,0.0402,-0.0462,0.1233,0.0642,-0.0440,0.0736,0.0306,-0.0373,0.0523,0.0270,-0.0409,0.0419,0.0312,0.0528,1.273,0.0561,None
1.4492,-0.0497,0.1254,0.0355,-0.0490,0.1297,0.0676,-0.0544,0.0811,0.0317,-0.0437,0.0541,0.0227,-0.0473,0.0442,0.0268,0.0448,0.830,0.0648,None
1.4632,-0.0516,0.1252,0.0333,-0.0468,0.1359,0.0758,-0.0666,0.0961,0.0428,-0.0543,0.0620,0.0242,-0.0532,0.0472,0.0243,0.0341,1.620,0.0799,None
1.4772,-0.0529,0.1250,0.0321,-0.0427,0.1400,0.0834,-0.0711,0.1061,0.0534,-0.0647,0.0725,0.0304,-0.0624,0.0563,0.0282,0.0338,1.138,0.0888,None
1.4915,-0.0541,0.1247,0.0309,-0.0409,0.1419,0.0874,-0.0732,0.1107,0.0584,-0.0702,0.0783,0.0341,-0.0678,0.0619,0.0313,0.0363,0.553,0.0931,None
1.5052,-0.0557,0.1243,0.0294,-0.0406,0.1432,0.0879,-0.0744,0.1140,0.0615,-0.0749,0.0839,0.0385,-0.0718,0.0664,0.0347,0.0385,0.432,0.0959,None
1.5203,-0.0613,0.1202,0.0333,-0.0411,0.1434,0.0874,-0.0749,0.1144,0.0618,-0.0774,0.0868,0.0414,-0.0732,0.0681,0.0366,0.0321,0.510,0.0963,None
1.5332,-0.0669,0.1153,0.0370,-0.0417,0.1435,0.0868,-0.0755,0.1149,0.0621,-0.0793,0.0888,0.0434,-0.0743,0.0693,0.0378,0.0265,0.628,0.0967,None
1.5475,-0.0697,0.1119,0.0404,-0.0407,0.1443,0.0856,-0.0745,0.1156,0.0612,-0.0784,0.0895,0.0429,-0.0735,0.0698,0.0374,0.0217,0.495,0.0964,None
1.5608,-0.0690,0.1119,0.0412,-0.0437,0.1437,0.0788,-0.0733,0.1140,0.0556,-0.0761,0.0888,0.0400,-0.0706,0.0682,0.0340,0.0152,0.499,0.0943,None
1.5749,-0.0670,0.1140,0.0397,-0.0474,0.1417,0.0710,-0.0724,0.1094,0.0466,-0.0675,0.0776,0.0276,-0.0596,0.0568,0.0245,0.0099,0.719,0.0906,None
1.5892,-0.0653,0.1155,0.0386,-0.0489,0.1394,0.0645,-0.0707,0.1060,0.0408,-0.0582,0.0694,0.0220,-0.0505,0.0498,0.0221,0.0112,0.475,0.0878,None
1.6033,-0.0639,0.1165,0.0382,-0.0491,0.1374,0.0599,-0.0689,0.1041,0.0377,-0.0497,0.0636,0.0203,-0.0429,0.0449,0.0226,0.0134,0.282,0.0859,None
1.6170,-0.0630,0.1170,0.0380,-0.0481,0.1370,0.0581,-0.0679,0.1046,0.0373,-0.0451,0.0612,0.0202,-0.0386,0.0426,0.0235,0.0133,0.012,0.0857,None
1.6313,-0.0621,0.1175,0.0377,-0.0470,0.1369,0.0566,-0.0669,0.1051,0.0369,-0.0421,0.0600,0.0203,-0.0358,0.0414,0.0243,0.0133,0.014,0.0856,None
1.6456,-0.0615,0.1179,0.0373,-0.0461,0.1373,0.0559,-0.0661,0.1055,0.0364,-0.0416,0.0602,0.0201,-0.0354,0.0416,0.0242,0.0132,0.009,0.0855,None
1.6613,-0.0609,0.1183,0.0365,-0.0453,0.1377,0.0548,-0.0656,0.1061,0.0355,-0.0411,0.0604,0.0196,-0.0350,0.0418,0.0239,0.0131,0.007,0.0855,None
1.6730,-0.0603,0.1188,0.0356,-0.0446,0.1381,0.0535,-0.0650,0.1067,0.0346,-0.0406,0.0606,0.0191,-0.0347,0.0420,0.0235,0.0130,0.010,0.0854,None
1.6872,-0.0598,0.1193,0.0346,-0.0439,0.1385,0.0521,-0.0645,0.1073,0.0335,-0.0402,0.0608,0.0185,-0.0344,0.0423,0.0231,0.0129,0.009,0.0854,None
1.7013,-0.0594,0.1197,0.0336,-0.0434,0.1387,0.0505,-0.0641,0.1078,0.0325,-0.0398,0.0610,0.0179,-0.0341,0.0425,0.0227,0.0129,0.008,0.0854,None
1.7151,-0.0592,0.1199,0.0328,-0.0430,0.1385,0.0487,-0.0638,0.1082,0.0315,-0.0394,0.0610,0.0174,-0.0339,0.0426,0.0224,0.0127,0.019,0.0853,None
1.7291,-0.0590,0.1200,0.0321,-0.0427,0.1376,0.0463,-0.0635,0.1085,0.0305,-0.0391,0.0611,0.0170,-0.0337,0.0427,0.0221,0.0125,0.029,0.0853,None
1.7431,-0.0590,0.1199,0.0317,-0.0425,0.1365,0.0441,-0.0634,0.1086,0.0298,-0.0388,0.0610,0.0166,-0.0335,0.0427,0.0219,0.0123,0.031,0.0852,None
1.7573,-0.0589,0.1200,0.0313,-0.0423,0.1353,0.0421,-0.0633,0.1087,0.0292,-0.0386,0.0609,0.0164,-0.0333,0.0428,0.0218,0.0123,0.011,0.0851,None
1.7709,-0.0588,0.1201,0.0308,-0.0420,0.1343,0.0405,-0.0632,0.1088,0.0286,-0.0383,0.0609,0.0161,-0.0331,0.0428,0.0217,0.0124,0.012,0.0850,None
1.7850,-0.0586,0.1202,0.0307,-0.0414,0.1326,0.0386,-0.0630,0.1088,0.0282,-0.0379,0.0607,0.0161,-0.0329,0.0427,0.0217,0.0124,0.014,0.0849,None
1.7987,-0.0583,0.1201,0.0308,-0.0402,0.1301,0.0363,-0.0626,0.1090,0.0280,-0.0374,0.0607,0.0161,-0.0326,0.0428,0.0218,0.0122,0.029,0.0849,None
1.8130,-0.0580,0.1200,0.0310,-0.0391,0.1281,0.0345,-0.0622,0.1092,0.0277,-0.0369,0.0606,0.0161,-0.0323,0.0428,0.0218,0.0121,0.039,0.0848,None
1.8267,-0.0576,0.1197,0.0316,-0.0379,0.1267,0.0336,-0.0618,0.1094,0.0278,-0.0364,0.0606,0.0163,-0.0320,0.0428,0.0220,0.0118,0.053,0.0848,None
1.8406,-0.0574,0.1189,0.0328,-0.0373,0.1267,0.0336,-0.0613,0.1095,0.0280,-0.0359,0.0605,0.0164,-0.0316,0.0427,0.0222,0.0113,0.100,0.0847,None
1.8544,-0.0571,0.1182,0.0339,-0.0368,0.1266,0.0337,-0.0609,0.1096,0.0282,-0.0355,0.0604,0.0166,-0.0313,0.0427,0.0224,0.0110,0.090,0.0847,None
1.8686,-0.0569,0.1167,0.0359,-0.0362,0.1266,0.0344,-0.0604,0.1095,0.0288,-0.0350,0.0603,0.0170,-0.0309,0.0426,0.0228,0.0107,0.139,0.0846,None
1.8824,-0.0534,0.1198,0.0334,-0.0357,0.1264,0.0364,-0.0597,0.1084,0.0303,-0.0346,0.0598,0.0182,-0.0304,0.0422,0.0238,0.0134,0.472,0.0840,None
1.8961,-0.0455,0.1256,0.0278,-0.0342,0.1262,0.0394,-0.0533,0.0982,0.0271,-0.0337,0.0594,0.0201,-0.0294,0.0419,0.0254,0.0285,1.191,0.0749,None
1.9104,-0.0379,0.1312,0.0231,-0.0316,0.1263,0.0439,-0.0464,0.0888,0.0254,-0.0324,0.0589,0.0225,-0.0281,0.0414,0.0275,0.0433,1.067,0.0666,None
1.9240,-0.0327,0.1335,0.0228,-0.0277,0.1266,0.0462,-0.0349,0.0792,0.0230,-0.0296,0.0582,0.0236,-0.0262,0.0416,0.0289,0.0544,1.007,0.0552,None
