Time,ThumbTip.x,ThumbTip.y,ThumbTip.z,IndexTip.x,IndexTip.y,IndexTip.z,MiddleTip.x,MiddleTip.y,MiddleTip.z,RingTip.x,RingTip.y,RingTip.z,LittleTip.x,LittleTip.y,LittleTip.z,Dist,Speed,PalmDist,Label
0.3533,-0.1149,-0.0175,0.0381,-0.1311,-0.0096,0.0579,-0.1098,-0.0207,0.0599,-0.0976,-0.0184,0.0675,-0.0843,-0.0139,0.0804,0.0226,0.000,0.0782,None
0.4595,-0.1077,-0.0295,0.0585,-0.1245,-0.0257,0.0873,-0.1158,-0.0073,0.1161,-0.0963,-0.0111,0.1209,-0.0647,-0.0021,0.1324,0.0622,0.431,0.1027,None
0.4738,-0.1121,-0.0223,0.0583,-0.1274,-0.0202,0.0906,-0.1179,0.0041,0.1239,-0.0962,0.0015,0.1347,-0.0425,0.0125,0.1472,0.0710,0.662,0.1078,None
0.5558,-0.1186,-0.0293,0.0535,-0.1227,0.0222,0.1185,-0.0929,0.0221,0.1496,-0.0639,0.0143,0.1591,-0.0121,-0.0081,0.1531,0.1120,0.614,0.1140,None
0.5749,-0.1147,-0.0418,0.0525,-0.1136,0.0235,0.1291,-0.0774,0.0123,0.1586,-0.0511,-0.0006,0.1636,-0.0077,-0.0326,0.1481,0.1248,0.812,0.1138,None
0.5893,-0.1130,-0.0537,0.0466,-0.1086,0.0097,0.1357,-0.0683,-0.0046,0.1629,-0.0466,-0.0255,0.1623,-0.0069,-0.0544,0.1394,0.1339,0.949,0.1138,None
0.6022,-0.1142,-0.0594,0.0397,-0.1060,0.0058,0.1429,-0.0616,-0.0109,0.1694,-0.0433,-0.0420,0.1598,-0.0068,-0.0689,0.1305,0.1481,1.201,0.1177,None
0.6161,-0.1156,-0.0626,0.0322,-0.1066,0.0064,0.1452,-0.0604,-0.0099,0.1737,-0.0422,-0.0477,0.1604,-0.0071,-0.0753,0.1260,0.1607,0.915,0.1213,None
0.6302,-0.1170,-0.0648,0.0239,-0.1103,0.0052,0.1432,-0.0642,-0.0114,0.1737,-0.0452,-0.0542,0.1583,-0.0093,-0.0798,0.1227,0.1676,0.624,0.1227,None
0.6443,-0.1255,-0.0509,0.0291,-0.1159,-0.0082,0.1399,-0.0725,-0.0396,0.1647,-0.0513,-0.0685,0.1476,-0.0145,-0.0848,0.1172,0.1460,3.144,0.1214,None
0.6586,-0.1277,-0.0437,0.0338,-0.1172,-0.0142,0.1382,-0.0741,-0.0679,0.1313,-0.0557,-0.0822,0.1086,-0.0313,-0.0844,0.0951,0.1138,3.637,0.1074,None
0.6727,-0.1283,-0.0407,0.0356,-0.1172,-0.0170,0.1372,-0.0718,-0.0710,0.1124,-0.0547,-0.0786,0.0904,-0.0373,-0.0793,0.0845,0.1000,1.544,0.0968,None
0.6865,-0.1270,-0.0412,0.0386,-0.1130,-0.0281,0.1354,-0.0649,-0.0699,0.0894,-0.0489,-0.0669,0.0649,-0.0384,-0.0693,0.0660,0.0852,1.935,0.0822,None
0.7023,-0.1250,-0.0408,0.0433,-0.1074,-0.0303,0.1362,-0.0570,-0.0572,0.0685,-0.0421,-0.0465,0.0498,-0.0322,-0.0533,0.0504,0.0744,1.833,0.0633,None
0.7169,-0.1237,-0.0384,0.0451,-0.1034,-0.0274,0.1371,-0.0516,-0.0377,0.0564,-0.0369,-0.0264,0.0451,-0.0248,-0.0359,0.0429,0.0730,1.534,0.0442,None
0.7288,-0.1229,-0.0374,0.0478,-0.0994,-0.0242,0.1402,-0.0491,-0.0248,0.0547,-0.0344,-0.0167,0.0467,-0.0205,-0.0263,0.0435,0.0752,1.074,0.0333,None
0.7427,-0.1216,-0.0387,0.0500,-0.0935,-0.0294,0.1409,-0.0477,-0.0197,0.0554,-0.0328,-0.0135,0.0486,-0.0183,-0.0217,0.0452,0.0766,0.478,0.0285,None
0.7570,-0.1210,-0.0401,0.0505,-0.0926,-0.0310,0.1409,-0.0474,-0.0204,0.0555,-0.0325,-0.0141,0.0486,-0.0181,-0.0221,0.0452,0.0764,0.059,0.0286,None
0.7707,-0.1202,-0.0415,0.0514,-0.0927,-0.0324,0.1404,-0.0474,-0.0210,0.0553,-0.0326,-0.0147,0.0485,-0.0183,-0.0225,0.0451,0.0756,0.122,0.0288,None
0.7848,-0.1192,-0.0428,0.0525,-0.0922,-0.0343,0.1396,-0.0474,-0.0216,0.0552,-0.0326,-0.0152,0.0484,-0.0184,-0.0228,0.0450,0.0749,0.121,0.0289,None
0.7985,-0.1186,-0.0438,0.0533,-0.0923,-0.0354,0.1387,-0.0476,-0.0219,0.0550,-0.0328,-0.0156,0.0482,-0.0187,-0.0230,0.0450,0.0743,0.102,0.0291,None
0.8126,-0.1185,-0.0432,0.0539,-0.0931,-0.0335,0.1386,-0.0480,-0.0214,0.0550,-0.0332,-0.0156,0.0485,-0.0192,-0.0225,0.0452,0.0738,0.059,0.0293,None
0.8269,-0.1185,-0.0428,0.0541,-0.0936,-0.0318,0.1386,-0.0483,-0.0210,0.0550,-0.0336,-0.0159,0.0489,-0.0196,-0.0223,0.0456,0.0736,0.017,0.0296,None
0.8404,-0.1186,-0.0423,0.0543,-0.0938,-0.0304,0.1386,-0.0484,-0.0206,0.0551,-0.0339,-0.0160,0.0492,-0.0200,-0.0222,0.0459,0.0735,0.013,0.0298,None
0.8549,-0.1187,-0.0419,0.0545,-0.0940,-0.0291,0.1386,-0.0486,-0.0203,0.0552,-0.0340,-0.0158,0.0493,-0.0202,-0.0219,0.0462,0.0733,0.011,0.0300,None
0.8685,-0.1183,-0.0420,0.0551,-0.0934,-0.0286,0.1390,-0.0484,-0.0204,0.0555,-0.0338,-0.0158,0.0495,-0.0201,-0.0217,0.0465,0.0732,0.030,0.0302,None
0.8823,-0.1179,-0.0424,0.0557,-0.0926,-0.0286,0.1394,-0.0481,-0.0205,0.0558,-0.0336,-0.0158,0.0497,-0.0200,-0.0217,0.0467,0.0731,0.033,0.0304,None
0.8962,-0.1175,-0.0426,0.0563,-0.0917,-0.0294,0.1392,-0.0478,-0.0207,0.0560,-0.0333,-0.0160,0.0499,-0.0198,-0.0217,0.0469,0.0731,0.022,0.0305,None
0.9108,-0.1173,-0.0426,0.0567,-0.0910,-0.0299,0.1390,-0.0477,-0.0207,0.0562,-0.0332,-0.0160,0.0500,-0.0198,-0.0216,0.0470,0.0730,0.015,0.0306,None
0.9240,-0.1171,-0.0428,0.0568,-0.0907,-0.0306,0.1385,-0.0476,-0.0209,0.0563,-0.0331,-0.0162,0.0500,-0.0198,-0.0217,0.0471,0.0729,0.012,0.0308,None
0.9382,-0.1170,-0.0429,0.0570,-0.0905,-0.0306,0.1384,-0.0476,-0.0210,0.0563,-0.0331,-0.0163,0.0499,-0.0199,-0.0217,0.0471,0.0727,0.016,0.0309,None
0.9525,-0.1167,-0.0430,0.0574,-0.0904,-0.0306,0.1383,-0.0476,-0.0211,0.0563,-0.0331,-0.0164,0.0499,-0.0199,-0.0218,0.0471,0.0725,0.033,0.0310,None
0.9660,-0.1165,-0.0428,0.0581,-0.0903,-0.0302,0.1384,-0.0476,-0.0211,0.0564,-0.0331,-0.0164,0.0499,-0.0200,-0.0217,0.0472,0.0722,0.044,0.0311,None
0.9799,-0.1163,-0.0426,0.0584,-0.0903,-0.0299,0.1384,-0.0477,-0.0211,0.0565,-0.0331,-0.0165,0.0499,-0.0201,-0.0217,0.0472,0.0720,0.033,0.0313,None
0.9945,-0.1165,-0.0419,0.0584,-0.0907,-0.0288,0.1385,-0.0478,-0.0209,0.0565,-0.0332,-0.0164,0.0499,-0.0204,-0.0216,0.0472,0.0719,0.033,0.0314,None
1.0079,-0.1167,-0.0413,0.0585,-0.0909,-0.0279,0.1387,-0.0480,-0.0207,0.0566,-0.0333,-0.0163,0.0499,-0.0205,-0.0215,0.0473,0.0718,0.031,0.0316,None
1.0220,-0.1168,-0.0407,0.0585,-0.0911,-0.0269,0.1389,-0.0481,-0.0206,0.0568,-0.0334,-0.0162,0.0500,-0.0207,-0.0214,0.0474,0.0717,0.030,0.0318,None
1.0361,-0.1171,-0.0398,0.0587,-0.0920,-0.0231,0.1400,-0.0484,-0.0205,0.0576,-0.0336,-0.0160,0.0501,-0.0210,-0.0211,0.0476,0.0713,0.082,0.0324,None
1.0496,-0.1171,-0.0397,0.0585,-0.0923,-0.0227,0.1399,-0.0486,-0.0205,0.0576,-0.0337,-0.0160,0.0500,-0.0212,-0.0211,0.0476,0.0712,0.015,0.0325,None
1.0641,-0.1173,-0.0397,0.0581,-0.0928,-0.0224,0.1396,-0.0488,-0.0205,0.0574,-0.0338,-0.0161,0.0499,-0.0214,-0.0211,0.0476,0.0712,0.017,0.0326,None
1.0781,-0.1175,-0.0397,0.0577,-0.0932,-0.0224,0.1393,-0.0490,-0.0206,0.0572,-0.0340,-0.0162,0.0498,-0.0216,-0.0211,0.0475,0.0711,0.016,0.0326,None
1.0916,-0.1179,-0.0393,0.0572,-0.0938,-0.0219,0.1391,-0.0493,-0.0205,0.0570,-0.0342,-0.0162,0.0496,-0.0218,-0.0211,0.0474,0.0711,0.034,0.0326,None
1.1058,-0.1188,-0.0374,0.0566,-0.0952,-0.0180,0.1396,-0.0504,-0.0209,0.0585,-0.0348,-0.0159,0.0495,-0.0225,-0.0209,0.0473,0.0704,0.218,0.0341,None
1.1205,-0.1200,-0.0346,0.0558,-0.0972,-0.0109,0.1406,-0.0527,-0.0236,0.0628,-0.0359,-0.0165,0.0505,-0.0234,-0.0205,0.0472,0.0685,0.520,0.0391,None
1.1340,-0.1202,-0.0347,0.0544,-0.1001,0.0083,0.1420,-0.0688,-0.0320,0.1284,-0.0500,-0.0451,0.0915,-0.0375,-0.0470,0.0809,0.0901,5.118,0.0937,None
1.1475,-0.1195,-0.0360,0.0533,-0.1019,0.0215,0.1397,-0.0724,0.0016,0.1546,-0.0549,-0.0356,0.1201,-0.0387,-0.0436,0.1055,0.1179,3.297,0.1100,None
1.1612,-0.1189,-0.0321,0.0545,-0.1058,0.0365,0.1343,-0.0754,0.0322,0.1583,-0.0589,-0.0102,0.1450,-0.0357,-0.0291,0.1289,0.1296,1.973,0.1160,None
1.1747,-0.1195,-0.0268,0.0544,-0.1098,0.0500,0.1270,-0.0798,0.0483,0.1534,-0.0625,0.0119,0.1508,-0.0360,-0.0113,0.1387,0.1305,0.919,0.1171,None
1.1884,-0.1207,-0.0217,0.0530,-0.1131,0.0614,0.1192,-0.0837,0.0611,0.1472,-0.0663,0.0279,0.1499,-0.0384,0.0024,0.1412,0.1307,0.694,0.1176,None
1.2024,-0.1236,-0.0161,0.0480,-0.1171,0.0700,0.1102,-0.0893,0.0701,0.1396,-0.0727,0.0371,0.1449,-0.0448,0.0114,0.1393,0.1304,0.356,0.1175,None
1.2167,-0.1272,-0.0090,0.0398,-0.1201,0.0765,0.1023,-0.0948,0.0745,0.1334,-0.0803,0.0412,0.1395,-0.0537,0.0138,0.1355,0.1296,0.270,0.1174,None
1.2305,-0.1299,-0.0007,0.0314,-0.1204,0.0801,0.0989,-0.1030,0.0560,0.1291,-0.0876,0.0342,0.1321,-0.0647,0.0063,0.1254,0.1161,1.991,0.1131,None
1.2441,-0.1305,0.0044,0.0290,-0.1229,0.0737,0.0993,-0.1101,0.0409,0.1226,-0.0943,0.0255,0.1246,-0.0762,0.0012,0.1152,0.1026,1.588,0.1097,None
1.2587,-0.1309,0.0048,0.0301,-0.1283,0.0604,0.0971,-0.1168,0.0301,0.1149,-0.1035,0.0105,0.1100,-0.0852,-0.0026,0.1063,0.0896,1.066,0.1072,None
1.2720,-0.1309,0.0046,0.0311,-0.1331,0.0472,0.0907,-0.1233,0.0203,0.1037,-0.1104,-0.0002,0.0929,-0.0931,-0.0080,0.0931,0.0747,1.271,0.1046,None
1.2856,-0.1311,0.0088,0.0306,-0.1354,0.0425,0.0852,-0.1278,0.0169,0.0949,-0.1143,-0.0031,0.0819,-0.0978,-0.0109,0.0813,0.0648,0.890,0.1031,None
1.3000,-0.1297,0.0186,0.0345,-0.1355,0.0320,0.0702,-0.1290,0.0115,0.0771,-0.1142,-0.0051,0.0648,-0.0979,-0.0117,0.0626,0.0433,1.850,0.0972,None
1.3137,-0.1264,0.0266,0.0410,-0.1277,0.0225,0.0479,-0.1221,0.0076,0.0527,-0.1014,-0.0035,0.0404,-0.0872,-0.0085,0.0412,0.0227,2.428,0.0868,None
1.3283,-0.1239,0.0306,0.0454,-0.1215,0.0210,0.0406,-0.1090,0.0066,0.0372,-0.0850,-0.0001,0.0286,-0.0720,-0.0048,0.0312,0.0294,1.587,0.0753,Snap
1.3418,-0.1224,0.0310,0.0487,-0.1189,0.0208,0.0407,-0.0948,0.0080,0.0292,-0.0718,0.0032,0.0258,-0.0587,-0.0018,0.0301,0.0409,1.265,0.0638,None
1.3553,-0.1211,0.0310,0.0513,-0.1175,0.0215,0.0413,-0.0874,0.0102,0.0270,-0.0655,0.0053,0.0260,-0.0530,-0.0005,0.0312,0.0464,0.592,0.0580,None
1.3693,-0.1203,0.0353,0.0515,-0.1183,0.0206,0.0395,-0.0822,0.0112,0.0234,-0.0631,0.0052,0.0246,-0.0519,-0.0021,0.0304,0.0531,0.474,0.0533,None
1.3829,-0.1159,0.0499,0.0512,-0.1187,0.0204,0.0382,-0.0786,0.0123,0.0217,-0.0616,0.0051,0.0238,-0.0517,-0.0033,0.0298,0.0606,1.007,0.0503,None
1.3971,-0.1098,0.0589,0.0552,-0.1197,0.0191,0.0332,-0.0780,0.0121,0.0180,-0.0622,0.0040,0.0206,-0.0533,-0.0057,0.0261,0.0677,0.925,0.0496,None
1.4115,-0.1064,0.0597,0.0603,-0.1165,0.0212,0.0243,-0.0783,0.0139,0.0136,-0.0633,0.0043,0.0159,-0.0557,-0.0068,0.0201,0.0712,0.716,0.0494,None
1.4252,-0.1076,0.0586,0.0602,-0.1124,0.0241,0.0159,-0.0784,0.0160,0.0086,-0.0642,0.0052,0.0105,-0.0576,-0.0069,0.0132,0.0730,0.428,0.0492,None
1.4390,-0.1108,0.0588,0.0542,-0.1101,0.0266,0.0060,-0.0782,0.0179,0.0017,-0.0646,0.0064,0.0039,-0.0573,-0.0063,0.0063,0.0741,0.281,0.0490,None
1.4531,-0.1122,0.0592,0.0509,-0.1080,0.0287,0.0005,-0.0775,0.0195,-0.0023,-0.0633,0.0076,0.0002,-0.0558,-0.0058,0.0026,0.0749,0.178,0.0488,None
1.4674,-0.1125,0.0633,0.0451,-0.1057,0.0355,-0.0063,-0.0755,0.0245,-0.0071,-0.0610,0.0114,-0.0039,-0.0548,-0.0015,-0.0033,0.0748,0.177,0.0486,None
1.4811,-0.1115,0.0714,0.0340,-0.1018,0.0427,-0.0162,-0.0725,0.0297,-0.0141,-0.0593,0.0156,-0.0096,-0.0539,0.0036,-0.0103,0.0747,0.399,0.0485,None
1.4956,-0.1094,0.0791,0.0218,-0.0979,0.0470,-0.0257,-0.0700,0.0327,-0.0213,-0.0584,0.0196,-0.0178,-0.0540,0.0092,-0.0199,0.0746,0.468,0.0489,None
1.5094,-0.1080,0.0827,0.0126,-0.1051,0.0430,-0.0312,-0.0873,0.0313,-0.0368,-0.0710,0.0215,-0.0368,-0.0616,0.0119,-0.0355,0.0742,1.476,0.0640,None
1.5227,-0.1072,0.0834,0.0060,-0.1099,0.0406,-0.0350,-0.1025,0.0281,-0.0456,-0.0843,0.0192,-0.0471,-0.0740,0.0100,-0.0451,0.0757,1.257,0.0754,None
1.5370,-0.1155,0.0704,0.0055,-0.1244,0.0253,-0.0278,-0.1265,0.0099,-0.0396,-0.1121,0.0015,-0.0438,-0.1021,-0.0078,-0.0399,0.0763,1.235,0.0894,None
1.5513,-0.1197,0.0619,0.0063,-0.1337,0.0163,-0.0212,-0.1359,-0.0007,-0.0311,-0.1245,-0.0099,-0.0348,-0.1133,-0.0192,-0.0300,0.0747,0.668,0.0942,None
1.5647,-0.1240,0.0527,0.0071,-0.1403,0.0022,-0.0096,-0.1421,-0.0167,-0.0160,-0.1297,-0.0258,-0.0199,-0.1163,-0.0334,-0.0143,0.0754,1.194,0.0974,None
1.5785,-0.1333,0.0217,0.0088,-0.1410,-0.0296,0.0264,-0.1424,-0.0480,0.0366,-0.1354,-0.0540,0.0518,-0.1153,-0.0584,0.0578,0.0755,3.750,0.1036,None
1.5927,-0.1340,-0.0041,0.0198,-0.1314,-0.0405,0.0588,-0.1309,-0.0482,0.0860,-0.1178,-0.0480,0.1000,-0.0936,-0.0475,0.1034,0.0796,3.359,0.1087,None
1.6063,-0.1314,-0.0293,-0.0015,-0.1407,-0.0399,0.0522,-0.1419,-0.0299,0.0987,-0.1240,-0.0250,0.1157,-0.0930,-0.0280,0.1193,0.1007,4.162,0.1149,None
1.6202,-0.1272,-0.0402,-0.0127,-0.1501,-0.0352,0.0487,-0.1475,-0.0210,0.0991,-0.1276,-0.0173,0.1138,-0.0940,-0.0240,0.1179,0.1152,1.790,0.1170,None
1.6347,-0.1266,-0.0315,-0.0291,-0.1618,-0.0243,0.0356,-0.1560,-0.0247,0.0835,-0.1350,-0.0293,0.0953,-0.1031,-0.0381,0.1016,0.1165,1.062,0.1164,None
1.6482,-0.1259,-0.0224,-0.0390,-0.1666,-0.0190,0.0260,-0.1571,-0.0348,0.0615,-0.1379,-0.0402,0.0761,-0.1087,-0.0495,0.0844,0.1059,1.690,0.1111,None
1.6622,-0.1256,-0.0139,-0.0448,-0.1692,-0.0156,0.0195,-0.1576,-0.0425,0.0432,-0.1383,-0.0545,0.0467,-0.1138,-0.0626,0.0551,0.0979,1.459,0.1090,None
1.6765,-0.1295,0.0047,-0.0408,-0.1718,-0.0123,0.0112,-0.1556,-0.0492,0.0192,-0.1338,-0.0611,0.0160,-0.1127,-0.0676,0.0234,0.0848,2.669,0.1066,None
1.6898,-0.1282,0.0176,-0.0423,-0.1733,-0.0100,-0.0039,-0.1533,-0.0510,-0.0078,-0.1354,-0.0634,-0.0080,-0.1125,-0.0691,-0.0032,0.0807,2.213,0.1055,None
1.7039,-0.1255,0.0255,-0.0463,-0.1729,-0.0107,-0.0158,-0.1559,-0.0494,-0.0259,-0.1378,-0.0627,-0.0267,-0.1140,-0.0694,-0.0214,0.0833,1.162,0.1090,None
1.7185,-0.1205,0.0308,-0.0548,-0.1702,-0.0095,-0.0316,-0.1575,-0.0440,-0.0425,-0.1397,-0.0587,-0.0422,-0.1165,-0.0675,-0.0345,0.0843,0.707,0.1116,None
1.7324,-0.1130,0.0352,-0.0648,-0.1665,0.0011,-0.0471,-0.1576,-0.0319,-0.0574,-0.1425,-0.0486,-0.0547,-0.1201,-0.0600,-0.0451,0.0809,0.849,0.1129,None
1.7463,-0.1043,0.0419,-0.0726,-0.1608,0.0161,-0.0616,-0.1546,-0.0165,-0.0722,-0.1419,-0.0347,-0.0685,-0.1210,-0.0487,-0.0578,0.0771,0.905,0.1135,None
1.7602,-0.0910,0.0491,-0.0840,-0.1532,0.0316,-0.0735,-0.1479,0.0002,-0.0866,-0.1369,-0.0190,-0.0836,-0.1178,-0.0352,-0.0726,0.0751,0.854,0.1134,None
1.7735,-0.0765,0.0569,-0.0922,-0.1410,0.0433,-0.0852,-0.1411,0.0160,-0.0957,-0.1312,-0.0038,-0.0938,-0.1138,-0.0218,-0.0833,0.0766,0.840,0.1133,None
1.7877,-0.0663,0.0623,-0.0957,-0.1303,0.0513,-0.0926,-0.1336,0.0272,-0.1020,-0.1249,0.0074,-0.1008,-0.1099,-0.0118,-0.0901,0.0762,0.494,0.1128,None
