Time,ThumbTip.x,ThumbTip.y,ThumbTip.z,IndexTip.x,IndexTip.y,IndexTip.z,MiddleTip.x,MiddleTip.y,MiddleTip.z,RingTip.x,RingTip.y,RingTip.z,LittleTip.x,LittleTip.y,LittleTip.z,Dist,Speed,PalmDist,Label
0.0789,-0.0870,0.1015,-0.0500,-0.0985,0.0694,-0.0610,-0.0661,0.0465,-0.0376,-0.0646,0.0329,-0.0295,-0.0705,0.0262,-0.0253,0.0601,0.000,0.0487,None
0.1343,-0.0806,0.1091,-0.0429,-0.0943,0.0793,-0.0545,-0.0634,0.0529,-0.0331,-0.0629,0.0387,-0.0262,-0.0690,0.0319,-0.0225,0.0596,0.083,0.0484,None
0.1508,-0.0789,0.1100,-0.0422,-0.0919,0.0834,-0.0495,-0.0618,0.0562,-0.0285,-0.0624,0.0416,-0.0232,-0.0685,0.0344,-0.0193,0.0580,0.280,0.0470,None
0.1690,-0.0784,0.1083,-0.0441,-0.0881,0.0831,-0.0481,-0.0608,0.0572,-0.0270,-0.0620,0.0423,-0.0228,-0.0682,0.0347,-0.0189,0.0567,0.235,0.0458,None
0.1850,-0.0760,0.1074,-0.0462,-0.0798,0.0802,-0.0466,-0.0596,0.0578,-0.0261,-0.0614,0.0431,-0.0216,-0.0676,0.0348,-0.0176,0.0560,0.227,0.0446,None
0.1930,-0.0738,0.1072,-0.0480,-0.0757,0.0791,-0.0449,-0.0590,0.0585,-0.0252,-0.0611,0.0436,-0.0205,-0.0675,0.0346,-0.0165,0.0558,0.413,0.0438,None
0.2093,-0.0787,0.1011,-0.0444,-0.0747,0.0764,-0.0433,-0.0601,0.0570,-0.0244,-0.0621,0.0421,-0.0203,-0.0682,0.0327,-0.0166,0.0518,0.411,0.0435,None
0.2215,-0.0779,0.0985,-0.0478,-0.0722,0.0747,-0.0469,-0.0594,0.0563,-0.0272,-0.0614,0.0415,-0.0229,-0.0676,0.0321,-0.0194,0.0505,0.159,0.0434,None
0.2496,-0.0672,0.0997,-0.0595,-0.0633,0.0760,-0.0565,-0.0533,0.0579,-0.0347,-0.0566,0.0435,-0.0300,-0.0636,0.0346,-0.0270,0.0505,0.221,0.0432,None
0.2659,-0.0603,0.1006,-0.0651,-0.0577,0.0775,-0.0609,-0.0493,0.0592,-0.0383,-0.0534,0.0449,-0.0335,-0.0609,0.0363,-0.0309,0.0505,0.223,0.0432,None
0.2786,-0.0536,0.1008,-0.0701,-0.0523,0.0786,-0.0646,-0.0455,0.0602,-0.0412,-0.0503,0.0461,-0.0365,-0.0581,0.0378,-0.0343,0.0505,0.281,0.0432,None
0.2931,-0.0442,0.1038,-0.0744,-0.0469,0.0815,-0.0694,-0.0405,0.0618,-0.0439,-0.0461,0.0480,-0.0394,-0.0544,0.0399,-0.0377,0.0520,0.340,0.0431,None
0.3083,-0.0359,0.1066,-0.0786,-0.0425,0.0825,-0.0721,-0.0371,0.0625,-0.0457,-0.0433,0.0489,-0.0414,-0.0519,0.0411,-0.0399,0.0551,0.385,0.0430,None
0.3249,-0.0420,0.1039,-0.0789,-0.0446,0.0865,-0.0742,-0.0361,0.0638,-0.0447,-0.0425,0.0504,-0.0401,-0.0513,0.0428,-0.0386,0.0530,0.494,0.0428,None
0.3365,-0.0458,0.1006,-0.0760,-0.0459,0.0875,-0.0732,-0.0353,0.0633,-0.0427,-0.0417,0.0502,-0.0380,-0.0504,0.0429,-0.0366,0.0511,0.471,0.0418,None
0.3506,-0.0467,0.1011,-0.0749,-0.0463,0.0881,-0.0724,-0.0354,0.0637,-0.0419,-0.0418,0.0506,-0.0368,-0.0506,0.0433,-0.0358,0.0511,0.056,0.0417,None
0.3646,-0.0469,0.1016,-0.0742,-0.0464,0.0884,-0.0719,-0.0355,0.0640,-0.0414,-0.0417,0.0508,-0.0355,-0.0507,0.0435,-0.0353,0.0512,0.029,0.0415,None
0.3789,-0.0466,0.1025,-0.0733,-0.0460,0.0887,-0.0715,-0.0352,0.0642,-0.0409,-0.0414,0.0510,-0.0344,-0.0505,0.0438,-0.0349,0.0514,0.052,0.0413,None
0.3934,-0.0463,0.1038,-0.0720,-0.0456,0.0888,-0.0713,-0.0348,0.0644,-0.0401,-0.0412,0.0513,-0.0337,-0.0503,0.0441,-0.0347,0.0520,0.078,0.0406,None
0.4072,-0.0458,0.1042,-0.0717,-0.0450,0.0890,-0.0712,-0.0345,0.0646,-0.0398,-0.0409,0.0515,-0.0335,-0.0501,0.0443,-0.0345,0.0521,0.021,0.0405,None
0.4213,-0.0452,0.1047,-0.0715,-0.0443,0.0892,-0.0712,-0.0340,0.0648,-0.0397,-0.0406,0.0517,-0.0334,-0.0498,0.0446,-0.0344,0.0522,0.022,0.0404,None
0.4357,-0.0444,0.1051,-0.0714,-0.0435,0.0893,-0.0712,-0.0336,0.0651,-0.0396,-0.0402,0.0520,-0.0333,-0.0495,0.0449,-0.0343,0.0523,0.024,0.0402,None
0.4500,-0.0436,0.1056,-0.0713,-0.0426,0.0895,-0.0712,-0.0331,0.0653,-0.0395,-0.0398,0.0523,-0.0333,-0.0491,0.0452,-0.0343,0.0524,0.026,0.0401,None
0.4635,-0.0428,0.1060,-0.0712,-0.0417,0.0896,-0.0712,-0.0325,0.0655,-0.0395,-0.0394,0.0525,-0.0332,-0.0488,0.0455,-0.0343,0.0525,0.028,0.0400,None
