Time,ThumbTip.x,ThumbTip.y,ThumbTip.z,IndexTip.x,IndexTip.y,IndexTip.z,MiddleTip.x,MiddleTip.y,MiddleTip.z,RingTip.x,RingTip.y,RingTip.z,LittleTip.x,LittleTip.y,LittleTip.z,Dist,Speed,PalmDist,Label
2.0532,-0.1194,0.0396,0.0671,-0.1072,0.0606,0.1109,-0.0861,0.0504,0.1210,-0.0755,0.0326,0.1198,-0.0641,0.0139,0.1183,0.0643,0.000,0.0954,None
2.0724,-0.1195,0.0396,0.0669,-0.1072,0.0606,0.1111,-0.0860,0.0504,0.1213,-0.0755,0.0326,0.1201,-0.0641,0.0137,0.1185,0.0648,0.023,0.0955,None
2.0777,-0.1196,0.0395,0.0667,-0.1072,0.0607,0.1113,-0.0861,0.0504,0.1215,-0.0756,0.0325,0.1203,-0.0642,0.0135,0.1186,0.0652,0.087,0.0957,None
2.0880,-0.1198,0.0393,0.0665,-0.1073,0.0608,0.1115,-0.0861,0.0503,0.1218,-0.0757,0.0323,0.1205,-0.0642,0.0132,0.1188,0.0657,0.050,0.0958,None
2.1015,-0.1200,0.0391,0.0664,-0.1073,0.0613,0.1121,-0.0863,0.0500,0.1222,-0.0758,0.0319,0.1208,-0.0643,0.0128,0.1190,0.0661,0.034,0.0960,None
2.1156,-0.1202,0.0389,0.0662,-0.1074,0.0611,0.1123,-0.0865,0.0497,0.1225,-0.0763,0.0322,0.1227,-0.0645,0.0125,0.1204,0.0664,0.034,0.0963,None
2.1297,-0.1204,0.0385,0.0660,-0.1076,0.0608,0.1126,-0.0868,0.0493,0.1229,-0.0767,0.0325,0.1249,-0.0646,0.0123,0.1228,0.0669,0.045,0.0966,None
2.1438,-0.1206,0.0385,0.0658,-0.1079,0.0606,0.1128,-0.0875,0.0499,0.1251,-0.0774,0.0331,0.1279,-0.0648,0.0121,0.1259,0.0689,0.183,0.0985,None
2.1582,-0.1207,0.0389,0.0654,-0.1081,0.0604,0.1129,-0.0881,0.0501,0.1266,-0.0781,0.0331,0.1301,-0.0651,0.0115,0.1284,0.0703,0.139,0.0999,None
2.1716,-0.1210,0.0394,0.0647,-0.1083,0.0602,0.1130,-0.0887,0.0497,0.1278,-0.0790,0.0326,0.1316,-0.0657,0.0104,0.1298,0.0715,0.154,0.1009,None
2.1864,-0.1211,0.0405,0.0638,-0.1085,0.0597,0.1132,-0.0897,0.0485,0.1285,-0.0803,0.0312,0.1326,-0.0672,0.0084,0.1303,0.0723,0.197,0.1015,None
2.2000,-0.1211,0.0427,0.0627,-0.1081,0.0612,0.1145,-0.0909,0.0488,0.1324,-0.0817,0.0306,0.1367,-0.0692,0.0058,0.1315,0.0762,0.410,0.1048,None
2.2158,-0.1208,0.0459,0.0609,-0.1056,0.0667,0.1184,-0.0920,0.0502,0.1382,-0.0837,0.0295,0.1399,-0.0722,0.0028,0.1320,0.0825,0.496,0.1095,None
2.2282,-0.1203,0.0502,0.0584,-0.1013,0.0746,0.1258,-0.0949,0.0480,0.1389,-0.0884,0.0258,0.1380,-0.0784,-0.0011,0.1283,0.0845,0.645,0.1108,None
