Time,ThumbTip.x,ThumbTip.y,ThumbTip.z,IndexTip.x,IndexTip.y,IndexTip.z,MiddleTip.x,MiddleTip.y,MiddleTip.z,RingTip.x,RingTip.y,RingTip.z,LittleTip.x,LittleTip.y,LittleTip.z,Dist,Speed,PalmDist,Label
0.2966,-0.0481,0.1229,0.0039,-0.0278,0.1574,0.0692,-0.0649,0.1271,0.0765,-0.0626,0.1138,0.0918,-0.0521,0.0863,0.1091,0.0747,0.000,0.1075,None
0.3632,-0.0340,0.1288,-0.0011,-0.0228,0.1597,0.0713,-0.0552,0.1418,0.0833,-0.0679,0.1191,0.0829,-0.0700,0.0891,0.0817,0.0880,0.230,0.1146,None
0.3839,-0.0113,0.1354,-0.0049,-0.0199,0.1556,0.0831,-0.0531,0.1463,0.0861,-0.0712,0.1236,0.0728,-0.0700,0.0895,0.0454,0.1007,1.048,0.1176,None
0.4498,0.0119,0.1363,0.0167,-0.0335,0.1356,0.1070,-0.0503,0.1394,0.1130,-0.0715,0.1254,0.0951,-0.0784,0.1018,0.0552,0.1147,0.341,0.1230,None
0.4710,0.0137,0.1398,0.0216,-0.0426,0.1345,0.1125,-0.0546,0.1385,0.1248,-0.0765,0.1245,0.1093,-0.0868,0.1057,0.0609,0.1238,0.482,0.1281,None
0.4828,0.0109,0.1404,0.0233,-0.0499,0.1320,0.1148,-0.0635,0.1365,0.1250,-0.0839,0.1210,0.1118,-0.0971,0.1008,0.0747,0.1262,0.588,0.1291,None
0.4975,0.0071,0.1411,0.0239,-0.0562,0.1304,0.1150,-0.0711,0.1351,0.1237,-0.0903,0.1187,0.1109,-0.1030,0.0960,0.0790,0.1269,0.321,0.1296,None
0.5119,0.0054,0.1410,0.0250,-0.0612,0.1291,0.1135,-0.0765,0.1335,0.1221,-0.0949,0.1171,0.1088,-0.1066,0.0932,0.0796,0.1272,0.332,0.1296,None
0.5264,0.0022,0.1417,0.0251,-0.0656,0.1282,0.1130,-0.0813,0.1321,0.1216,-0.0990,0.1154,0.1081,-0.1083,0.0922,0.0795,0.1279,0.182,0.1300,None
0.5402,0.0021,0.1424,0.0253,-0.0666,0.1273,0.1145,-0.0825,0.1308,0.1231,-0.0999,0.1139,0.1098,-0.1069,0.0922,0.0820,0.1298,0.192,0.1305,None
0.5544,0.0027,0.1431,0.0256,-0.0653,0.1265,0.1168,-0.0813,0.1298,0.1256,-0.0991,0.1144,0.1083,-0.1029,0.0955,0.0735,0.1312,0.203,0.1307,None
0.5682,0.0032,0.1433,0.0261,-0.0653,0.1255,0.1179,-0.0815,0.1286,0.1263,-0.1003,0.1163,0.0994,-0.0998,0.0967,0.0634,0.1320,0.114,0.1306,None
0.5824,0.0028,0.1434,0.0269,-0.0634,0.1246,0.1203,-0.0820,0.1297,0.1226,-0.0993,0.1183,0.0863,-0.0930,0.0955,0.0512,0.1286,0.326,0.1296,None
0.5991,0.0028,0.1434,0.0275,-0.0609,0.1241,0.1221,-0.0810,0.1301,0.1207,-0.0968,0.1179,0.0812,-0.0874,0.0928,0.0465,0.1261,0.162,0.1288,None
0.6106,0.0033,0.1433,0.0277,-0.0584,0.1242,0.1232,-0.0789,0.1302,0.1213,-0.0943,0.1178,0.0807,-0.0849,0.0921,0.0469,0.1252,0.147,0.1285,None
0.6239,0.0034,0.1432,0.0281,-0.0569,0.1242,0.1238,-0.0774,0.1300,0.1219,-0.0927,0.1174,0.0810,-0.0836,0.0916,0.0477,0.1245,0.102,0.1283,None
0.6380,0.0032,0.1431,0.0286,-0.0563,0.1243,0.1236,-0.0765,0.1297,0.1225,-0.0917,0.1170,0.0817,-0.0828,0.0912,0.0485,0.1239,0.081,0.1281,None
0.6523,0.0038,0.1431,0.0281,-0.0557,0.1258,0.1219,-0.0755,0.1307,0.1214,-0.0905,0.1180,0.0816,-0.0822,0.0922,0.0487,0.1231,0.090,0.1278,None
0.6662,0.0016,0.1432,0.0280,-0.0552,0.1268,0.1208,-0.0748,0.1315,0.1207,-0.0896,0.1185,0.0840,-0.0838,0.0936,0.0555,0.1207,0.220,0.1276,None
0.6804,0.0018,0.1430,0.0279,-0.0546,0.1273,0.1204,-0.0744,0.1319,0.1195,-0.0888,0.1185,0.0886,-0.0847,0.0941,0.0609,0.1197,0.088,0.1272,None
0.6942,0.0020,0.1429,0.0279,-0.0543,0.1276,0.1199,-0.0742,0.1320,0.1192,-0.0884,0.1186,0.0889,-0.0845,0.0943,0.0611,0.1194,0.029,0.1270,None
0.7079,0.0021,0.1429,0.0280,-0.0540,0.1279,0.1197,-0.0740,0.1321,0.1191,-0.0881,0.1187,0.0890,-0.0844,0.0944,0.0612,0.1192,0.023,0.1270,None
0.7218,0.0020,0.1428,0.0279,-0.0538,0.1284,0.1193,-0.0739,0.1323,0.1188,-0.0879,0.1188,0.0889,-0.0843,0.0945,0.0612,0.1189,0.022,0.1269,None
0.7363,0.0017,0.1428,0.0278,-0.0540,0.1287,0.1187,-0.0741,0.1324,0.1183,-0.0880,0.1188,0.0887,-0.0844,0.0944,0.0610,0.1186,0.024,0.1268,None
0.7496,0.0014,0.1428,0.0278,-0.0541,0.1291,0.1182,-0.0743,0.1324,0.1180,-0.0881,0.1188,0.0885,-0.0845,0.0943,0.0608,0.1183,0.026,0.1267,None
0.7634,0.0008,0.1427,0.0278,-0.0544,0.1292,0.1179,-0.0748,0.1321,0.1178,-0.0884,0.1184,0.0886,-0.0848,0.0939,0.0608,0.1180,0.025,0.1266,None
0.7776,0.0001,0.1427,0.0277,-0.0547,0.1293,0.1175,-0.0752,0.1320,0.1176,-0.0887,0.1182,0.0886,-0.0851,0.0937,0.0607,0.1177,0.026,0.1266,None
0.7917,-0.0006,0.1427,0.0277,-0.0549,0.1295,0.1172,-0.0755,0.1318,0.1175,-0.0889,0.1179,0.0886,-0.0853,0.0934,0.0607,0.1174,0.026,0.1266,None
0.8057,-0.0015,0.1426,0.0276,-0.0551,0.1296,0.1169,-0.0758,0.1315,0.1175,-0.0891,0.1176,0.0889,-0.0855,0.0930,0.0608,0.1171,0.052,0.1265,None
0.8188,-0.0025,0.1425,0.0276,-0.0550,0.1297,0.1168,-0.0757,0.1313,0.1178,-0.0891,0.1173,0.0894,-0.0855,0.0927,0.0612,0.1167,0.082,0.1264,None
0.8326,-0.0034,0.1424,0.0275,-0.0549,0.1297,0.1167,-0.0757,0.1310,0.1180,-0.0891,0.1170,0.0898,-0.0855,0.0924,0.0615,0.1164,0.075,0.1264,None
0.8468,-0.0050,0.1422,0.0276,-0.0547,0.1298,0.1166,-0.0755,0.1309,0.1183,-0.0889,0.1167,0.0903,-0.0854,0.0921,0.0618,0.1154,0.124,0.1264,None
0.8615,-0.0065,0.1418,0.0278,-0.0546,0.1300,0.1163,-0.0752,0.1307,0.1185,-0.0886,0.1166,0.0907,-0.0852,0.0919,0.0621,0.1143,0.122,0.1264,None
0.8751,-0.0072,0.1417,0.0278,-0.0550,0.1305,0.1150,-0.0751,0.1307,0.1186,-0.0885,0.1165,0.0910,-0.0848,0.0916,0.0619,0.1139,0.057,0.1263,None
0.8883,-0.0077,0.1416,0.0277,-0.0553,0.1309,0.1141,-0.0751,0.1307,0.1185,-0.0884,0.1164,0.0911,-0.0846,0.0914,0.0617,0.1137,0.037,0.1263,None
0.9022,-0.0081,0.1416,0.0276,-0.0554,0.1312,0.1136,-0.0751,0.1306,0.1184,-0.0883,0.1163,0.0912,-0.0841,0.0911,0.0613,0.1134,0.038,0.1263,None
0.9169,-0.0087,0.1415,0.0275,-0.0555,0.1314,0.1131,-0.0750,0.1306,0.1184,-0.0882,0.1162,0.0914,-0.0836,0.0907,0.0609,0.1131,0.042,0.1262,None
0.9310,-0.0092,0.1416,0.0272,-0.0556,0.1317,0.1128,-0.0753,0.1308,0.1182,-0.0884,0.1162,0.0914,-0.0837,0.0906,0.0609,0.1129,0.023,0.1262,None
0.9441,-0.0099,0.1415,0.0269,-0.0558,0.1320,0.1123,-0.0755,0.1309,0.1178,-0.0885,0.1161,0.0913,-0.0838,0.0904,0.0607,0.1126,0.033,0.1262,None
0.9582,-0.0106,0.1415,0.0265,-0.0561,0.1323,0.1117,-0.0758,0.1310,0.1174,-0.0887,0.1161,0.0911,-0.0839,0.0902,0.0606,0.1123,0.036,0.1261,None
0.9725,-0.0114,0.1416,0.0262,-0.0565,0.1328,0.1112,-0.0762,0.1312,0.1170,-0.0890,0.1161,0.0909,-0.0841,0.0901,0.0604,0.1120,0.027,0.1262,None
